,r,V_r,M_r,N_e23_logM31,N_e23_logM33,N_e23_logM35,N_e23_logM37,N_e23_logM39,N_e23_logM41,N_e23_logM43,N_e23_logM45,N_e23_logM47,N_e23_logM49,N_e23_logM51,N_e23_logM53,N_e23_logM55,N_e23_logM57,N_e23_logM59,V_plugged,M_plugged,n_r,NH_r
0,1.0,1.2310519332108044e+56,3041.975814643827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24097.974232256565,0.0
1,1.1220184543019633,5.078551418298797e+55,787.511673472352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21476.595312228783,8.580528153788853e+21
2,1.2589254117941673,7.173644550644204e+55,991.363523072941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19140.28889706987,1.7122272778220762e+22
3,1.4125375446227544,1.0133042259563352e+56,1247.9751551164318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17058.05367639204,2.570213138569227e+22
4,1.5848931924611136,1.4313302632882226e+56,1570.9980475508983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15202.259609809782,3.4243124811360027e+22
5,1.7782794100389228,2.021807735649385e+56,1977.614586989862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13548.281455781114,4.282214060428904e+22
6,1.9952623149688797,2.855879334613479e+56,2489.450646725454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12074.171925533434,5.136218843311448e+22
7,2.23872113856834,4.034036783053784e+56,3133.7238992734674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10760.370471146678,5.994014332051086e+22
8,2.51188643150958,5.69822841245266e+56,3944.688550405752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9589.443758538393,6.847900087688638e+22
9,2.8183829312644537,8.048961570425502e+56,4965.45271659876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.449143100839472e+56,1258.9254117941675,8545.854297761101,7.705562037048678e+22
10,3.1622776601683795,1.1369460413451761e+57,6250.264679918961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7615.754290130272,8.559297973384267e+22
11,3.548133892335755,1.6059789696102748e+57,7867.388403448585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6786.801871484784,9.416791840353198e+22
12,3.981071705534973,2.2685055904490803e+57,9902.719989518526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.877207563008787e+56,1995.2623149688793,6047.997348235909,1.027033920712168e+23
13,4.466835921509632,3.204349316695931e+57,12464.335282502681,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.112292306720614e+57,8289.889373939717,5389.537234740944,1.1127621523416746e+23
14,5.011872336272724,4.526263715919275e+57,15688.207629982462,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.559314480671577e+57,10071.40329435334,4802.684163908163,1.1980931561768871e+23
15,5.623413251903491,6.393517435599663e+57,19745.39588753821,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.995807321682551e+57,9456.904719139216,4279.650952059332,1.2837947635496915e+23
16,6.309573444801933,9.031083419984738e+57,24851.078881926718,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,8.866728114731854e+57,18551.211751944364,3813.4972663911262,1.3690959000447159e+23
17,7.07945784384138,1.27567443993485e+58,31275.90860396714,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.1960109517707476e+58,23349.335693661837,3398.0375311126163,1.4547640027278287e+23
18,7.943282347242816,1.8019380411235792e+58,39360.27389087604,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1.7689380498800475e+58,29656.771759355557,3027.7588471907866,1.5400275551817602e+23
19,8.912509381337456,2.545305136171036e+58,49532.21660191074,9,8,4,0,1,0,0,0,0,0,0,0,0,0,0,2.5242354539019623e+58,47884.820213814884,2697.747841866553,1.6256534989871655e+23
20,10.0,3.5953390673627203e+58,62329.92857406748,8,4,2,1,3,0,0,0,0,0,0,0,0,0,0,3.5340998872143686e+58,53218.72725256679,2403.625469242196,1.7108697623908417e+23
21,11.220184543019636,5.07855141829881e+58,78429.99248073302,13,15,3,2,1,0,0,0,0,0,0,0,0,0,0,3.8532981272849833e+58,73748.82507815075,2141.488904200056,1.7964426646114068e+23
22,12.589254117941675,7.173644550644202e+58,98682.81965306203,21,13,4,1,2,1,0,0,0,0,0,0,0,0,0,5.967485247433967e+58,98512.64553164647,1907.8597535891479,1.8815994365325372e+23
23,14.125375446227547,1.0133042259563375e+59,124157.10182746005,18,11,5,2,1,2,1,0,0,0,0,0,0,0,0,9.696018817112603e+58,123518.08958315496,1699.637900360086,1.9671056160891176e+23
24,15.848931924611142,1.4313302632882253e+59,156195.54399362032,24,14,7,2,0,1,1,1,0,0,0,0,0,0,0,1.4072585849913038e+59,154472.22445566265,1514.0603668510698,2.0521875590297586e+23
25,17.78279410038923,2.0218077356493804e+59,196484.70595226006,41,17,15,5,0,3,0,0,0,0,0,0,0,0,0,1.1977995357015759e+59,195796.69017574616,1348.6646516689298,2.137609823226869e+23
26,19.952623149688797,2.8558793346134765e+59,247142.47419685964,44,23,17,4,3,2,1,0,0,0,0,0,0,0,0,1.6160643176033583e+59,244050.93935848147,1201.2560538478272,2.222597667122639e+23
27,22.3872113856834,4.034036783053789e+59,310827.54369160533,68,38,17,9,1,3,0,0,0,0,0,0,0,0,0,1.751649839213764e+59,306003.5119212053,1069.8785504357695,2.3079144203183154e+23
28,25.11886431509581,5.698228412452676e+59,390876.34829458874,64,29,9,7,1,3,1,2,1,0,0,0,0,0,0,3.960101969703006e+59,381005.3832012,952.7888412750763,2.392783966818982e+23
29,28.18382931264455,8.04896157042552e+59,491474.1806552601,97,51,23,10,5,2,4,0,0,0,0,0,0,0,0,3.401943846198921e+59,491430.6651248986,848.4332164177332,2.4779680987016124e+23
30,31.622776601683793,1.1369460413451713e+60,617868.8400218738,119,79,31,15,6,7,0,0,0,0,0,0,0,0,0,3.7178873185636194e+59,616431.0123044059,755.4269393082793,2.562688980699354e+23
31,35.48133892335755,1.605978969610274e+60,776637.0974571779,124,56,24,22,8,3,3,1,1,1,0,0,0,0,0,7.98731538124891e+59,776343.5099604491,672.5358721392925,2.6477064831163135e+23
32,39.810717055349734,2.2685055904490813e+60,976016.641203214,191,80,33,24,8,3,0,0,1,0,0,1,0,0,0,1.3973627824053743e+60,975674.8136976823,598.6600995261684,2.732240623676975e+23
33,44.668359215096324,3.204349316695936e+60,1226319.0372165833,226,96,69,26,5,3,3,2,0,0,0,1,0,0,0,1.561298663079042e+60,1224681.9928365676,532.819333235529,2.817048875167773e+23
34,50.11872336272725,4.526263715919282e+60,1540442.6935951794,300,132,72,33,14,4,9,2,2,0,0,0,0,0,0,1.2379919702161472e+60,1538747.6053524546,474.13990427247757,2.9013485798620955e+23
35,56.23413251903491,6.39351743559965e+60,1934508.9417424304,384,193,81,36,19,15,4,0,1,2,0,0,0,0,0,1.627909428203247e+60,1933640.918770492,421.8431697172166,2.985894226662268e+23
36,63.09573444801933,9.031083419984733e+60,2428649.2274628077,554,275,117,52,23,8,3,5,1,0,0,0,0,0,0,1.6323814418856204e+60,2428245.665226631,375.23518047138776,3.069899832901573e+23
37,70.79457843841381,1.2756744399348517e+61,3047977.1187326033,597,316,148,72,29,15,11,6,0,0,0,0,0,0,0,2.1231252298873762e+60,3039362.7783836937,333.6974728122204,3.154116185100162e+23
38,79.43282347242817,1.801938041123581e+61,3823785.434388295,837,372,193,77,39,19,6,5,4,0,0,0,0,0,0,2.754442224324888e+60,3819480.2642864767,296.6788615441699,3.2377531827178945e+23
39,89.12509381337459,2.545305136171042e+61,4795016.287262775,1077,511,210,115,37,24,11,4,3,1,0,0,0,0,0,3.400842720478573e+60,4787687.839050699,263.68812584541274,3.321557036145023e+23
40,100.0,3.595339067362711e+61,6010060.141382579,1191,574,268,136,67,24,13,4,0,2,2,1,0,0,0,5.617386085742462e+60,6004159.969146445,234.28749074007322,3.404732567349853e+23
41,112.20184543019641,5.078551418298834e+61,7528948.909685187,1498,735,329,174,82,32,17,5,3,3,0,0,1,0,0,7.077809104481368e+60,7521239.372400267,208.08681768258373,3.488020358564681e+23
42,125.89254117941675,7.17364455064418e+61,9426017.277565777,2088,902,436,222,88,50,16,7,7,2,1,0,0,0,0,7.124947590323571e+60,9424413.797139075,184.73842714705108,3.570619006290043e+23
43,141.2537544622754,1.0133042259563308e+62,11793115.158775434,2253,1064,467,252,113,54,29,17,7,5,2,2,0,0,0,1.1550027448768686e+61,11791550.179369751,163.93248449671566,3.653262214530055e+23
44,158.48931924611142,1.431330263288232e+62,14743461.39835389,3116,1478,699,319,167,68,30,18,6,2,2,0,0,0,0,1.1054891945184592e+61,14742777.819214877,145.39288787600327,3.735141002197144e+23
45,177.82794100389228,2.021807735649379e+62,18416232.88997814,3660,1710,778,393,151,88,48,19,11,7,1,1,0,1,0,1.8284803249313268e+61,18249273.80456077,128.87360352335574,3.8169807359322344e+23
46,199.52623149688807,2.8558793346134923e+62,22981981.748015255,4868,2331,1115,562,236,100,47,22,8,5,2,0,0,0,0,1.6717736362555015e+61,22938930.610518962,114.15539983146367,3.897963298134225e+23
47,223.872113856834,2.9560291757647917e+62,28648962.599572375,5849,2774,1188,563,307,141,65,33,16,14,4,1,0,0,0,2.4557690864710956e+61,28647982.523360737,109.59639459002565,3.981533599603701e+23
48,251.18864315095823,3.2973173141060185e+62,35670427.60584852,7115,3292,1601,752,335,161,69,39,20,8,7,1,0,1,1,3.893679552714559e+61,35669407.70384556,108.75369533225401,4.073508372675302e+23
49,281.8382931264455,4.151076557476912e+62,44352901.92179334,9099,4284,2012,941,451,224,119,46,16,6,2,2,1,0,1,4.1603375752073227e+61,44352653.80017287,107.81686878741372,4.175716628254312e+23
50,316.22776601683796,5.225895764510747e+62,55065378.286055624,11339,5241,2518,1162,526,256,115,63,23,15,4,2,1,1,1,5.415887123126744e+61,55064926.848594524,106.7765674978215,4.289797702950357e+23
51,354.81338923357566,6.579012977330124e+62,68249255.17102265,14279,6813,3166,1498,716,292,157,60,32,18,9,3,0,0,0,5.448522734156573e+61,68248056.26757792,105.62281172305367,4.416041704994241e+23
52,398.1071705534973,8.282486621684442e+62,84428674.6486404,17842,8452,3796,1907,890,397,202,89,34,21,6,0,0,1,0,6.610720973010855e+61,84428331.36219935,104.34502628067347,4.556515217458616e+23
53,446.6835921509635,1.042703288088386e+63,104220677.56478411,21394,10189,4656,2222,1021,490,221,100,53,25,15,7,1,2,0,9.378662582901953e+61,104219543.17109148,102.93210471805975,4.711662327044814e+23
54,501.18723362727246,1.3126856663357914e+63,128344266.73494601,26559,12376,5832,2751,1323,601,275,131,71,27,21,4,2,1,0,1.0962312463922439e+62,128342496.55322224,101.37250763023006,4.883688378568302e+23
55,562.341325190349,1.6525733430480866e+63,157627035.6891817,32692,15122,7064,3434,1531,745,337,174,86,32,21,7,5,1,0,1.3779522015117204e+62,157619615.61435097,99.65440284086223,5.0731634610429485e+23
56,630.9573444801937,2.0804665764168954e+63,193007466.4815328,39519,18204,8635,3947,1916,922,415,205,99,47,22,4,6,5,2,1.8988503617137818e+62,193005781.70336908,97.76585594182245,5.282384159746294e+23
57,707.945784384138,2.619152241439616e+63,235530320.0327897,48416,22637,10628,4920,2397,1077,485,232,117,62,32,16,6,0,2,2.16585097716472e+62,235493895.27450642,95.69508020515924,5.51198470665075e+23
58,794.3282347242822,3.2973173141060174e+63,286331749.7075772,57697,27508,12761,6149,2869,1306,645,284,149,72,38,12,5,6,2,2.7147211445723333e+62,286316879.99541754,93.4307549537422,5.7642610741439235e+23
59,891.2509381337459,4.151076557476915e+63,346609908.6869974,71512,33704,15723,7441,3570,1667,761,371,159,72,38,17,6,3,1,3.0075658396568897e+62,346609389.08444566,90.96242085501915,6.039802034301536e+23
60,1000.0,5.225895764510739e+63,417575990.09699273,85597,40254,18933,8912,4180,1963,909,433,203,97,46,24,10,4,2,3.777511372254548e+62,417574413.8915508,88.28095897392959,6.340749820191968e+23
61,1122.018454301964,6.579012977330129e+63,500380005.58843327,102706,48331,22710,10600,4992,2330,1122,520,242,110,51,29,14,4,3,4.549872638911886e+62,500377947.6075661,85.37915740970057,6.667477226536396e+23
62,1258.9254117941675,8.282486621684448e+63,596005442.9597745,122502,57553,27052,12634,5925,2808,1341,627,296,138,58,30,13,7,3,5.374171761653343e+62,596005347.5986103,82.25236452377585,7.02174269915546e+23
63,1412.5375446227554,1.0427032880883849e+64,705127639.8541279,145071,68376,31807,15062,6980,3339,1602,755,355,153,77,33,16,6,3,6.263102621350184e+62,705125152.490513,78.89922070872542,7.403465277723238e+23
64,1584.893192461114,1.3126856663357921e+64,827932795.7957182,169975,79926,37602,17660,8240,3925,1831,858,412,190,84,42,21,8,4,7.451168828342e+62,827931696.5189503,75.32245097398655,7.813705802373415e+23
65,1778.2794100389228,1.6525733430480865e+64,963898658.8035202,197895,93051,43722,20674,9666,4492,2132,1024,473,221,102,47,19,11,5,8.667502074960634e+62,963896773.5527303,71.52968812197197,8.25163581853885e+23
66,1995.262314968881,2.0804665764168942e+64,1111544738.4634771,228271,107746,50204,23691,11163,5298,2447,1169,528,258,118,57,28,9,5,9.935796875201959e+62,1111534148.2573404,67.53428106689863,8.717235557801822e+23
67,2238.72113856834,2.619152241439613e+64,1268169947.3238068,260745,122408,57582,27132,12672,5934,2809,1297,617,288,136,61,31,15,6,1.1449577949271462e+63,1268169765.7788165,63.3560255442911,9.208623614901839e+23
68,2511.886431509582,3.2973173141060186e+64,1429608946.5587463,292903,137760,64466,30483,14308,6687,3207,1507,704,325,143,71,33,18,9,1.3072589724492586e+63,1429601160.6524286,59.02173647399181,9.724300200930232e+23
69,2818.382931264455,4.151076557476914e+64,1590054365.1181698,327007,153759,72108,33928,15961,7471,3521,1652,774,365,168,76,37,16,8,1.4272376690234119e+63,1590039204.6015778,54.56556498049197,1.0261106179231152e+24
70,3162.2776601683795,5.2258957645107424e+64,1742008202.1825771,357619,168206,78973,37220,17436,8197,3850,1813,863,390,190,81,42,17,10,1.5725856972149648e+63,1742007560.4016407,50.02895211362623,1.0815751322042475e+24
71,3548.1338923357566,6.579012977330132e+64,1876437803.9178886,385219,180815,84927,39898,18767,8807,4155,1921,943,431,216,91,46,20,9,1.6978115824882345e+63,1876423779.897099,45.46011035453641,1.1383797548867369e+24
72,3981.0717055349733,8.28248662168444e+64,1983213198.974928,407763,191524,89936,42307,19865,9356,4379,2052,959,449,215,100,45,21,10,1.7859869741428373e+63,1983211725.2621021,40.91293848870103,1.1960097681925902e+24
73,4466.835921509635,1.0427032880883863e+65,2051884790.0850163,420800,197963,92961,43578,20477,9620,4525,2135,989,473,229,106,46,22,13,1.8708495033942494e+63,2051700437.0173626,36.44531067436591,1.2539317951291914e+24
